CustomerID,F1.Age,F2.Region,F3.Occupation,Q1.HaveEverUsed,Q2.FormerCustomerDollar,Q3.Well-known,Q4.ServiceType,Q5.CustomerDollar
64,30,23,A,1,70341,1,D,323806
65,44,11,D,2,0,1,D,290473
66,29,14,A,1,37087,2,A,386743
67,64,41,C,1,21055,1,E,639657
68,54,18,A,2,0,1,D,139528
69,58,47,A,1,22972,1,C,164468
70,20,26,E,1,63460,2,C,862002
71,56,45,D,1,84241,1,C,458805
72,41,46,A,1,71803,2,E,372627
73,67,41,C,2,0,1,C,158403
74,66,19,D,2,0,1,C,867044
75,22,26,D,1,50010,2,D,625737
76,59,2,E,1,55327,2,A,384164
77,34,9,C,2,0,2,C,144048
78,48,35,C,1,6648,1,D,517936
79,24,19,C,1,16774,2,C,519484
80,48,15,B,2,0,2,D,735954
81,68,5,B,2,0,1,E,389616
82,69,36,E,2,0,2,D,835119
83,64,12,A,2,0,1,C,170491
84,41,34,D,2,0,2,D,170087
85,32,25,E,1,33629,2,C,967008
86,40,28,C,2,0,1,D,337675
87,25,43,C,2,0,2,D,538391
88,59,42,A,2,0,1,E,762166
89,33,17,D,2,0,2,A,265483
90,38,1,A,2,0,2,D,902971
91,55,9,E,1,13313,2,A,326345
92,40,8,C,1,68322,2,B,981580
93,56,31,E,2,0,2,D,558362
94,67,7,A,2,0,2,F,0
95,39,38,C,2,0,2,C,81784
96,34,20,E,1,58604,1,D,181705
97,48,33,B,1,66708,1,E,589140
98,20,11,C,1,24343,2,A,600638
99,25,9,E,2,0,1,A,643683
100,32,39,B,1,39356,2,C,386759
101,44,24,E,2,0,1,A,913074
102,37,8,D,1,86394,1,B,350806
103,28,10,A,2,0,1,A,932681
104,64,20,A,1,84391,2,D,984047
105,26,24,B,1,41251,2,D,425754
106,36,23,E,2,0,1,F,0
107,42,4,B,2,0,1,C,463504
108,27,17,D,1,98023,2,C,37927
109,34,28,C,1,88964,2,B,980046
110,66,30,A,2,0,1,A,623526
111,34,13,B,1,51193,2,C,840594
112,55,13,A,1,75161,2,D,266445
113,33,8,A,1,35155,2,D,42343
114,27,6,C,1,65130,2,B,327490
115,63,3,B,2,0,1,F,0
116,35,13,D,1,12008,1,A,699259
117,40,35,D,2,0,2,A,102275
118,53,46,B,2,0,2,E,332187
119,26,35,B,2,0,1,B,679763
120,62,45,B,2,0,2,E,786662
121,54,47,D,2,0,1,D,943890
122,46,32,C,2,0,1,C,357923
123,25,15,D,1,14494,1,C,910647
124,29,44,B,2,0,2,A,907319
125,32,4,B,1,83618,2,E,677999
126,21,3,A,1,17689,2,C,368021
127,58,19,D,1,38660,2,C,606461
128,47,40,C,1,64335,2,D,986819
129,31,13,A,1,44707,2,E,65043
130,54,28,B,2,0,1,C,357867
131,44,13,E,2,0,2,F,0
132,57,13,E,1,87201,2,D,656805
133,29,24,C,2,0,2,C,967717
134,60,41,C,1,68904,1,E,894555
135,45,22,C,2,0,2,D,387132
136,31,28,D,1,99712,1,A,531543
137,48,4,C,2,0,1,F,0
138,36,34,A,1,50693,1,E,887112
139,45,28,D,1,40186,2,C,759847
140,27,26,E,1,84655,1,D,626224
141,23,13,D,1,56464,2,B,279860
142,39,21,D,1,8005,2,E,885875
143,60,39,A,2,0,1,C,730590
144,45,23,C,1,80273,1,B,952059
145,58,27,B,2,0,2,A,613066
146,26,27,D,1,78488,2,D,823850
147,41,44,B,1,18293,2,B,142115
148,24,40,C,1,73372,1,E,424338
149,26,19,E,1,32412,1,E,106577
150,65,36,B,1,45600,1,C,220811
151,45,7,D,2,0,1,B,960812
152,67,45,B,1,62023,2,E,742043
153,68,20,D,1,40737,1,B,541200
154,42,1,E,1,16994,2,B,512287
155,62,15,B,2,0,1,D,622680
156,53,25,A,2,0,1,E,962346
157,54,40,E,1,60376,1,B,765347
158,65,17,E,1,59531,1,B,667399
159,50,44,D,1,21505,2,D,488305
160,28,20,C,1,70400,2,A,199017
161,30,42,E,1,63378,1,D,681842
162,33,42,D,1,11801,2,E,342330
163,51,25,A,1,74302,1,E,756557
164,40,17,D,1,17743,2,E,29114
165,60,40,A,1,4886,1,C,214600
166,67,2,E,2,0,1,B,163435
167,56,6,E,2,0,2,E,690778
168,31,45,A,2,0,2,A,84944
169,63,39,A,1,14047,1,B,614097
170,25,29,C,1,7127,2,C,350708
171,23,23,B,1,63943,1,D,622180
172,54,47,D,1,74406,2,E,426456
173,23,3,E,2,0,2,C,926777
174,46,33,B,2,0,2,D,652590
175,31,32,E,2,0,2,F,0
176,43,39,B,2,0,1,F,0
177,41,37,C,1,46215,2,A,893663
178,23,21,D,2,0,1,E,295269
179,20,27,B,2,0,2,F,0
180,43,33,B,2,0,2,D,723574
181,35,47,E,1,34745,2,E,250799
182,29,16,B,2,0,1,C,113612
183,29,1,C,1,3597,1,A,101239
184,25,32,B,2,0,1,F,0
185,48,40,D,1,82027,1,A,819100
186,49,44,B,2,0,1,A,871811
187,43,32,A,2,0,1,C,945961
188,23,9,A,1,54264,2,B,515123
189,44,46,B,1,44240,2,C,247318
190,52,34,C,2,0,2,D,698512
191,63,5,A,2,0,1,A,420140
192,61,38,A,2,0,1,D,172930
193,27,31,A,1,45582,2,A,861509
194,33,42,D,1,68329,2,D,165981
195,36,21,B,2,0,2,E,509302
196,26,34,E,1,31220,1,C,646384
197,44,38,A,1,75180,2,A,256816
198,32,2,E,1,81679,1,E,91151
199,50,1,E,2,0,1,A,486434
200,31,2,A,2,0,2,A,547121
201,51,17,C,2,0,1,A,824824
202,70,9,E,2,0,1,D,212638
203,36,41,A,2,0,1,B,921984
204,23,8,A,2,0,2,B,387344
205,64,21,A,1,76732,2,E,633685
206,37,39,A,2,0,1,E,490567
207,20,38,C,1,77820,1,B,709107
208,55,9,B,2,0,2,D,305415
209,46,12,A,2,0,1,F,0
210,27,12,E,1,93641,2,D,71874
211,32,29,D,2,0,1,C,635235
212,32,6,E,1,70579,1,C,519518
213,35,17,E,1,37636,1,B,22279
214,61,37,B,1,69399,2,A,807966
215,36,26,D,2,0,1,F,0
216,28,27,D,1,66144,1,D,64167
217,37,42,D,1,11472,2,E,891179
218,35,47,D,1,71543,2,B,710979
219,53,18,E,1,77873,1,B,716713
220,66,35,D,2,0,2,F,0
221,56,16,C,1,60982,2,C,529430
222,51,12,E,1,27208,1,D,11060
223,39,24,A,1,35310,2,A,800382
224,45,32,C,2,0,1,F,0
225,37,7,A,2,0,1,E,202743
226,65,7,D,2,0,2,F,0
227,50,41,D,2,0,2,B,211251
228,21,39,D,1,31326,1,A,255234
229,39,9,C,1,33452,1,B,447968
230,63,11,A,2,0,2,A,821525
231,20,16,E,1,65173,1,B,774721
232,51,11,E,1,31904,2,D,903118
233,51,7,B,1,96460,2,B,655505
234,43,40,A,1,15267,2,B,262926
235,54,35,D,2,0,1,C,250147
236,35,2,E,1,889,1,B,972190
237,42,36,D,2,0,1,C,74340
238,43,25,E,2,0,1,F,0
239,70,33,B,2,0,2,E,691037
240,46,37,A,2,0,1,E,866409
241,42,3,C,1,22648,2,A,594446
242,65,34,D,1,41566,1,A,57754
243,65,29,A,2,0,1,D,156681
244,25,12,C,2,0,1,F,0
245,64,21,C,2,0,1,E,451251
246,56,45,C,1,178,1,C,681741
247,38,44,C,1,18068,1,B,21369
248,27,10,E,2,0,1,C,93869
249,70,41,B,1,43696,1,B,886400
250,47,38,C,2,0,2,B,515141
251,70,41,B,1,27846,2,D,155733
252,57,5,B,2,0,2,F,0
253,33,27,B,1,77229,1,E,508081
254,35,37,E,1,59608,2,D,577343
255,38,31,E,1,81246,1,E,53629
256,48,33,C,1,7566,1,A,572956
257,45,1,B,2,0,2,B,378760
258,65,1,E,2,0,1,F,0
259,31,13,E,2,0,1,B,471803
260,44,31,B,1,81511,2,B,223526
261,45,14,C,2,0,1,C,468088
262,34,23,C,1,82366,2,E,692502
263,56,28,A,2,0,2,F,0
264,70,21,E,2,0,2,C,748926
265,23,46,D,1,26806,2,D,493224
266,53,24,D,1,60297,2,D,702166
267,47,44,D,1,53443,1,D,458069
268,49,25,A,2,0,2,A,104292
269,23,22,A,2,0,2,E,64191
270,27,36,E,2,0,2,E,115060
271,39,43,A,1,78612,2,D,583384
272,35,41,B,1,64235,1,B,149815
273,58,25,D,2,0,1,E,128709
274,64,28,A,1,87074,1,D,413495
275,27,43,A,2,0,2,B,290873
276,62,30,A,2,0,1,B,533698
277,34,44,E,2,0,1,A,89504
278,30,42,C,1,98907,1,E,263925
279,53,30,A,2,0,2,B,958420
280,60,24,D,1,73359,1,A,648022
281,43,44,E,1,99115,1,C,588518
282,70,37,A,2,0,2,E,875079
283,22,44,C,2,0,1,E,475429
284,38,42,C,2,0,1,B,569148
285,48,13,E,1,66753,2,A,274312
286,23,33,B,1,24227,2,C,127328
287,59,26,B,1,88896,1,A,520014
288,23,1,D,1,67770,2,A,681369
289,70,47,C,1,27182,2,D,941739
290,36,39,B,1,28911,2,B,556122
291,40,38,C,2,0,2,D,711320
292,61,9,A,2,0,2,E,802373
293,21,21,E,2,0,1,B,563358
294,52,32,A,1,40488,2,E,896728
295,48,17,B,2,0,1,F,0
296,63,42,B,2,0,1,D,510059
297,44,20,B,2,0,1,A,804077
298,22,38,D,1,95077,2,A,786127
299,22,16,B,1,71207,2,D,682884
300,35,26,E,2,0,2,B,740659
301,40,39,D,1,48275,2,B,986374
302,42,10,A,2,0,2,A,416054
303,46,27,A,2,0,2,A,731115
304,62,6,B,1,48701,1,C,39320
305,29,11,A,2,0,2,B,858365
306,50,22,B,2,0,1,C,959067
307,48,36,D,1,26277,2,D,578987
308,59,16,E,1,18447,2,A,511768
309,54,25,D,2,0,2,D,772686
310,37,17,B,1,25630,2,C,50537
311,44,47,C,1,76992,1,C,208633
312,62,43,D,1,21637,2,D,624738
313,32,36,A,1,13060,1,E,270546
314,67,42,A,2,0,2,F,0
315,22,3,B,1,89423,1,B,637138
316,33,20,B,1,7313,2,E,478919
317,47,7,A,2,0,2,B,615082
318,67,44,D,1,76908,2,D,670030
319,20,47,B,1,32278,1,C,196225
320,46,4,C,2,0,2,C,660570
321,47,20,C,2,0,1,D,669422
322,62,28,B,2,0,1,E,322555
323,62,18,C,2,0,1,B,239508
324,25,38,A,2,0,2,D,430938
325,22,22,A,2,0,2,A,772109
326,27,41,D,1,30123,1,E,861562
327,66,39,C,2,0,2,B,654479
328,53,11,E,2,0,1,D,109625
329,70,2,D,1,48559,2,C,387408
330,30,12,E,2,0,1,E,49466
331,68,18,D,2,0,2,D,690796
332,56,5,A,2,0,2,F,0
333,61,7,B,1,15625,2,E,787432
334,34,18,A,2,0,1,A,591762
335,46,42,C,1,45947,2,E,52794
336,46,47,A,1,21998,2,E,377473
337,61,6,C,2,0,2,F,0
338,40,35,A,1,52231,2,E,264805
339,33,46,C,2,0,1,D,802123
340,32,14,E,1,40613,2,B,698162
341,30,26,C,1,59124,1,E,134643
342,69,19,A,1,29867,1,B,561283
343,64,7,E,1,85391,1,A,477464
344,44,27,E,1,36464,1,D,922961
345,26,8,E,2,0,1,C,283245
346,67,2,A,2,0,2,F,0
347,61,20,A,2,0,2,F,0
348,68,8,A,1,13256,1,B,767053
349,36,25,E,2,0,1,C,476048
350,25,22,C,2,0,2,C,703792
351,28,10,C,2,0,1,E,802058
352,32,10,D,1,61809,1,A,23778
353,22,11,D,1,54587,1,E,999102
354,35,28,A,1,7206,1,E,47887
355,24,46,D,2,0,2,F,0
356,44,24,D,2,0,1,C,536757
357,65,42,C,2,0,1,F,0
358,68,18,E,2,0,2,E,179172
359,55,40,B,2,0,1,A,447080
360,52,27,C,2,0,2,C,953563
361,38,38,B,1,21895,1,C,911168
362,22,5,C,2,0,2,E,68398
363,59,8,B,2,0,1,E,788400
364,30,44,C,2,0,2,C,826818
365,55,22,E,2,0,1,F,0
366,25,13,E,2,0,1,E,146922
367,23,23,A,1,71914,1,A,120395
368,68,38,E,1,37654,1,A,804205
369,42,1,C,1,1946,1,E,797486
370,41,29,C,1,66282,2,C,381501
371,32,45,C,2,0,2,F,0
372,29,22,D,1,90329,1,A,607006
373,46,10,D,2,0,1,F,0
374,51,14,D,1,51810,2,C,927493
375,54,24,C,2,0,1,C,154696
376,59,23,D,1,86699,2,B,176866
377,63,18,B,2,0,2,C,600850
378,58,31,C,2,0,1,F,0
379,28,39,A,1,77139,1,A,973089
380,25,28,A,2,0,1,B,143064
381,34,6,D,1,1021,1,A,602716
382,52,17,D,1,98682,2,B,726004
383,22,30,A,2,0,1,E,534704
384,37,9,D,2,0,1,F,0
385,24,1,C,2,0,2,B,603702
386,39,32,E,2,0,2,E,619938
387,58,37,C,2,0,1,C,348396
388,39,41,D,2,0,1,D,653446
389,61,29,A,2,0,2,F,0
390,61,2,E,2,0,2,D,946130
391,54,1,E,1,93914,2,A,482890
392,25,26,A,2,0,1,C,757067
393,69,39,B,1,54655,1,D,260125
394,25,12,A,1,2659,2,D,559948
395,26,6,B,1,73556,1,D,327342
396,30,4,B,1,76108,1,C,359923
397,45,31,D,2,0,1,D,487616
398,34,27,B,2,0,2,B,526975
399,65,14,A,1,96191,2,E,448269
400,34,29,B,1,61895,2,A,826396
401,58,17,D,2,0,2,D,398579
402,45,23,B,1,4914,1,C,699781
403,51,43,A,1,25989,2,B,68422
404,20,40,E,2,0,1,A,718650
405,57,36,A,2,0,1,F,0
406,33,23,A,2,0,2,D,664460
407,21,36,A,2,0,1,F,0
408,34,14,B,1,92484,2,D,925301
409,22,14,E,2,0,1,B,707159
410,60,14,D,1,6120,2,C,94900
411,37,36,D,2,0,2,D,991780
412,20,23,A,2,0,2,E,352954
413,54,5,E,2,0,2,C,876172
414,48,42,A,1,5196,1,A,951516
415,21,46,B,2,0,2,E,621987
416,26,36,B,2,0,2,F,0
417,55,8,D,2,0,2,A,723496
418,29,18,D,1,85184,2,A,388692
419,46,18,D,1,37429,1,C,345425
420,56,2,C,1,19494,1,E,980351
421,30,18,B,1,10147,1,C,921245
422,41,21,A,2,0,2,E,794259
423,65,5,C,2,0,2,D,875797
424,32,4,D,2,0,2,D,892363
425,60,17,C,1,94138,1,B,929032
426,49,46,A,1,26108,1,C,644825
427,57,21,E,2,0,2,C,258694
428,38,38,A,1,75717,2,C,553095
429,28,32,B,2,0,1,D,48153
430,55,17,E,2,0,1,F,0
431,55,16,E,2,0,1,C,900543
432,70,5,A,1,79418,2,D,45026
433,47,30,A,2,0,2,B,382426
434,54,6,A,1,91157,2,B,81534
435,49,47,B,2,0,2,F,0
436,64,3,D,1,67298,1,C,141667
437,47,17,B,1,52957,2,D,843940
438,38,34,B,2,0,2,C,406093
439,22,2,A,2,0,2,F,0
440,28,45,B,2,0,2,C,417783
441,38,42,A,1,23517,2,D,761561
442,61,18,E,2,0,1,B,109907
443,48,42,D,1,43236,2,A,96619
444,57,22,B,1,58660,2,C,676787
445,32,29,B,2,0,1,F,0
446,21,27,A,1,95884,2,E,996751
447,58,37,A,2,0,1,C,18197
448,64,27,B,1,70440,1,E,477475
449,54,21,A,1,50667,2,E,789456
450,24,4,C,2,0,1,C,486552
451,41,18,B,2,0,2,E,440419
452,57,39,A,1,2022,1,D,271925
453,28,16,E,1,86395,1,E,178909
454,36,9,D,1,38192,2,C,907641
455,63,20,E,1,56951,2,E,458938
456,27,47,D,1,38033,1,C,836679
457,33,28,D,1,58045,2,C,482179
458,66,24,B,1,85497,1,B,460366
459,39,28,D,1,46887,2,A,863696
460,51,34,D,1,14436,2,A,762576
461,45,47,D,2,0,2,B,310863
462,56,41,A,1,87518,2,C,477917
463,43,31,C,2,0,2,F,0
464,41,18,B,1,70277,1,B,146084
465,47,31,D,2,0,2,D,386295
466,26,32,E,2,0,2,B,219545
467,51,45,D,1,31958,2,C,837321
468,21,29,E,1,77988,1,D,625221
469,61,11,D,2,0,2,E,156974
470,45,18,C,2,0,2,B,176729
471,65,11,E,1,63528,2,A,321428
472,29,13,A,2,0,1,A,298122
473,62,18,A,1,24493,1,C,547445
474,20,9,A,2,0,1,F,0
475,33,16,C,1,32467,2,E,875258
476,34,29,C,2,0,2,A,251398
477,70,20,D,2,0,1,D,777862
478,44,39,D,1,76267,2,C,82582
479,47,29,C,1,72058,2,B,697075
480,30,20,B,1,95619,2,B,27693
481,60,26,E,2,0,1,D,641069
482,36,45,E,1,40682,1,B,717928
483,57,34,D,1,99894,1,C,720807
484,44,24,E,1,74057,1,A,313555
485,65,5,C,2,0,2,B,956785
486,37,44,E,1,33037,1,D,672880
487,32,14,C,1,15810,2,D,783191
488,66,29,A,1,16806,2,B,282242
489,28,37,D,1,17529,1,C,507979
490,35,10,B,1,76985,2,A,902909
491,35,13,B,1,62990,1,E,410289
492,35,47,B,1,2361,1,D,53631
493,23,30,D,2,0,2,B,167609
494,44,42,D,1,56990,1,D,418057
495,37,34,E,2,0,1,A,951824
496,59,20,C,2,0,1,F,0
497,25,11,A,2,0,2,A,858669
498,56,39,A,1,1704,2,A,38349
499,52,21,C,2,0,2,F,0
500,25,44,B,2,0,2,E,737412
501,53,40,E,1,41833,1,C,476376
502,30,7,E,1,8401,1,C,134706
503,58,25,C,1,67356,2,A,531317
504,60,3,A,1,41828,2,E,788413
505,34,5,C,1,79101,2,B,859355
506,40,25,D,1,47990,1,D,424886
507,63,10,B,1,51102,1,B,544472
508,61,38,E,2,0,1,C,322508
509,36,13,A,2,0,2,F,0
510,22,3,B,1,49538,1,C,348905
511,21,21,A,2,0,2,B,218487
512,22,2,E,1,17560,1,A,344619
513,47,21,C,2,0,1,E,230089
514,38,34,D,2,0,1,E,393487
515,43,16,C,2,0,1,D,913229
516,33,27,A,2,0,1,C,445160
517,28,26,B,1,13513,1,D,876223
518,68,35,C,2,0,2,C,934352
519,44,47,A,2,0,1,A,809882
520,56,45,D,2,0,2,B,245028
521,29,38,B,2,0,2,C,970051
522,36,26,A,2,0,2,E,183534
523,66,4,D,2,0,2,D,397692
524,21,41,A,1,18718,1,E,238953
525,54,13,C,2,0,2,E,322416
526,66,42,B,1,19218,2,A,28253
527,57,45,E,1,33854,2,B,767982
528,69,3,D,2,0,2,E,705226
529,27,18,A,1,19822,1,E,912698
530,43,14,E,1,82051,2,A,99657
531,40,26,E,2,0,2,F,0
532,37,47,E,1,82207,2,A,791113
533,65,8,B,2,0,2,A,261008
534,60,7,D,2,0,1,F,0
535,58,34,A,2,0,1,B,544383
536,55,20,D,1,92843,1,C,12868
537,28,40,E,1,49301,1,D,147889
538,38,12,E,1,62292,2,E,778647
539,60,16,D,2,0,2,D,307700
540,62,35,E,1,47512,1,E,366945
541,22,6,A,2,0,1,C,118566
542,20,33,B,1,48671,1,E,825958
543,47,30,B,1,36928,1,C,545319
544,52,9,B,1,12092,2,A,485592
545,51,35,B,1,53688,2,E,21087
546,46,37,B,1,35683,2,E,882917
547,27,40,E,2,0,1,E,600906
548,58,12,B,2,0,2,C,409911
549,40,13,B,2,0,1,C,61641
550,21,30,C,2,0,1,B,649894
551,63,26,B,2,0,2,C,796218
552,64,29,D,2,0,1,A,775316
553,47,2,D,2,0,2,D,109718
554,23,29,A,1,72952,1,A,79791
555,36,35,A,1,19152,1,B,944319
556,55,23,B,2,0,1,E,188244
557,43,8,E,1,9724,2,C,40249
558,31,22,E,2,0,2,D,482617
559,42,31,E,1,2648,2,E,873117
560,69,46,A,2,0,2,C,341022
561,62,45,D,1,47797,2,A,987218
562,49,42,A,1,61239,2,C,38225
563,46,24,B,1,87487,1,E,272089
564,48,41,B,1,77724,2,C,977631
565,58,39,C,1,88327,1,A,548312
566,67,19,C,2,0,1,A,326323
567,40,5,A,2,0,1,B,755897
568,24,40,D,1,99635,1,E,972425
569,63,44,C,1,60538,1,E,723839
570,23,27,A,1,74355,2,D,80355
571,21,31,E,2,0,2,C,346478
572,58,14,C,2,0,2,A,262048
573,34,22,D,2,0,1,B,635312
574,57,38,B,1,28467,2,B,350635
575,44,40,A,1,67431,2,B,928306
576,45,24,B,2,0,2,C,315835
577,27,34,B,2,0,1,B,498095
578,41,24,E,2,0,2,E,570592
579,43,11,E,1,97835,1,D,241455
580,45,16,A,2,0,2,C,98737
581,38,24,D,1,7042,2,D,969723
582,33,9,A,2,0,1,E,698223
583,43,30,A,1,37594,1,A,769392
584,53,43,E,2,0,1,F,0
585,43,33,E,1,18479,1,C,503887
586,49,24,A,2,0,1,D,99237
587,20,14,E,1,59400,2,C,757280
588,51,8,C,1,33800,2,D,654130
589,25,47,D,1,95176,2,B,652204
590,48,9,A,1,22742,1,E,984920
591,30,9,D,2,0,2,F,0
592,52,39,A,1,90608,1,E,654996
593,21,46,C,2,0,1,C,745326
594,66,1,B,2,0,1,D,583853
595,62,36,D,1,23523,2,C,237364
596,43,27,A,1,5899,1,D,466218
597,28,47,B,2,0,1,D,660561
598,68,24,D,2,0,1,C,966476
599,64,16,A,1,86499,1,B,945096
600,31,17,B,1,92729,1,A,610577
601,35,36,B,2,0,2,E,439375
602,55,34,B,1,70913,2,D,795385
603,27,22,A,2,0,2,B,725939
604,61,21,C,1,91235,2,C,873607
605,63,6,B,2,0,1,C,393433
606,32,9,E,1,31541,1,B,166639
607,20,11,C,1,58825,2,C,600890
608,38,32,A,2,0,2,C,872818
609,24,40,C,1,47316,2,C,819238
610,61,23,C,1,27873,1,B,950689
611,28,33,A,1,2117,2,C,88856
612,29,30,D,1,80328,1,A,565941
613,63,29,A,1,31209,2,C,903343
614,46,18,E,1,62232,1,C,593693
615,51,16,E,1,64145,2,C,378610
616,69,15,D,2,0,1,D,819608
617,66,22,E,1,54572,1,C,498669
618,21,20,B,1,32673,1,B,835261
619,25,38,B,2,0,1,B,143610
620,27,45,C,1,2332,2,D,588480
621,64,32,B,1,18463,1,C,892694
622,62,46,A,2,0,1,D,105402
623,57,10,E,2,0,1,E,180148
624,52,27,E,1,51195,2,A,12756
625,50,7,B,1,36210,2,B,14282
626,51,24,B,1,80067,1,C,170648
627,48,28,E,2,0,2,D,134057
628,60,39,D,1,88953,2,E,760094
629,37,24,B,1,92307,1,C,781897
630,65,32,A,1,39802,2,A,839383
631,40,17,E,1,79437,1,D,452462
632,37,1,A,2,0,1,A,376269
633,20,45,C,1,79819,1,E,324100
634,33,46,A,2,0,2,C,691366
635,40,24,D,2,0,2,C,598487
636,25,24,A,2,0,1,A,691041
637,48,16,C,2,0,2,F,0
638,25,22,E,1,33111,1,D,645616
639,47,2,C,1,20399,2,E,348179
640,54,30,C,1,10833,1,B,284755
641,61,43,B,2,0,1,C,927543
642,29,11,D,1,73382,1,A,588625
643,32,32,A,1,78392,2,C,307144
644,33,7,D,1,77324,2,C,576947
645,67,12,D,1,92187,2,B,981039
646,41,3,C,1,23270,2,E,221106
647,66,15,D,1,52724,2,A,838981
648,65,32,C,2,0,1,B,805995
649,52,6,D,2,0,2,A,464252
650,46,41,B,1,82287,1,C,954544
651,24,10,D,2,0,2,C,382704
652,30,24,D,2,0,2,E,418870
653,44,16,A,1,49382,1,C,930739
654,69,4,E,1,9128,2,B,369313
655,69,30,B,2,0,2,F,0
656,62,17,A,2,0,2,F,0
657,35,18,D,1,27250,1,B,639685
658,43,8,E,1,17186,2,D,798532
659,50,35,B,1,28954,1,B,148148
660,40,30,E,1,18540,1,B,223874
661,48,8,A,1,57330,1,D,725548
662,47,14,B,1,24687,1,E,196258
663,26,22,C,1,57555,2,C,336641
664,22,31,B,2,0,2,B,351322
665,43,38,E,2,0,2,A,213490
666,54,33,B,2,0,2,D,105304
667,57,46,C,1,42039,1,D,444140
668,29,14,C,1,91118,2,E,537085
669,44,21,B,2,0,1,B,163922
670,55,11,A,2,0,1,B,727993
671,48,32,E,1,89141,1,A,736374
672,54,11,E,2,0,2,E,413300
673,59,13,E,2,0,1,F,0
674,68,23,B,1,74430,1,B,478075
675,33,19,D,2,0,2,F,0
676,69,2,A,2,0,2,E,567608
677,21,17,D,2,0,1,B,336983
678,51,32,A,1,79255,1,C,636263
679,29,32,B,1,73028,1,C,878198
680,44,40,C,1,74557,2,A,79828
681,30,9,D,1,21567,1,D,417940
682,53,17,B,1,49959,1,A,521861
683,25,5,B,2,0,1,B,232846
684,56,41,C,2,0,2,F,0
685,54,28,B,2,0,1,E,153181
686,38,43,E,1,91948,2,D,935957
687,38,39,C,2,0,2,B,117684
688,29,19,E,1,54246,2,E,315272
689,70,8,C,1,47130,1,A,667638
690,20,21,E,1,66246,1,D,762493
691,25,12,A,1,68021,1,E,472582
692,30,8,B,2,0,2,F,0
693,30,45,D,1,59535,2,E,442076
694,46,13,D,1,62038,1,B,465533
695,58,21,B,1,85588,2,C,68165
696,48,20,E,1,29486,1,C,873743
697,44,46,C,1,28872,1,A,69448
698,39,37,D,1,98710,1,A,682338
699,33,19,C,1,96188,2,D,42498
700,52,42,E,1,88336,2,E,219045
701,28,8,E,2,0,1,F,0
702,63,45,B,2,0,1,B,807687
703,43,20,B,1,50031,1,A,356944
704,24,20,E,1,82706,2,B,984498
705,46,6,A,2,0,1,B,400145
706,39,2,E,2,0,2,E,551345
707,32,18,C,2,0,1,D,372268
708,57,9,E,1,86135,1,E,573746
709,35,40,D,2,0,2,C,582677
710,67,40,E,2,0,1,E,817536
711,55,22,B,1,32883,2,E,746300
